Date;Open;High;Low;Close     ;Adj Close    ;Volume
Jun 3, 2024;14,650.00;15,150.00;14,500.00;15,000.00;15,000.00;25,766,100
May 31, 2024;14,450.00;14,550.00;14,300.00;14,500.00;14,500.00;7,710,000
May 30, 2024;14,450.00;14,650.00;14,050.00;14,650.00;14,650.00;19,294,400
May 29, 2024;15,100.00;15,200.00;14,500.00;14,600.00;14,600.00;19,824,300
May 28, 2024;14,700.00;15,100.00;14,600.00;14,950.00;14,950.00;19,151,100
May 27, 2024;14,400.00;14,600.00;14,000.00;14,600.00;14,600.00;9,646,900
May 24, 2024;14,600.00;14,800.00;13,900.00;14,450.00;14,450.00;23,192,300
May 23, 2024;14,200.00;14,700.00;13,900.00;14,600.00;14,600.00;22,188,500
May 22, 2024;15,000.00;15,000.00;14,050.00;14,200.00;14,200.00;36,523,100
May 21, 2024;14,450.00;15,100.00;14,400.00;14,900.00;14,900.00;19,930,100
May 20, 2024;15,000.00;15,300.00;14,600.00;14,750.00;14,750.00;26,425,600
May 17, 2024;13,850.00;14,600.00;13,800.00;14,600.00;14,600.00;38,251,900
May 16, 2024;13,650.00;13,700.00;13,400.00;13,650.00;13,650.00;15,565,200
May 15, 2024;13,500.00;13,750.00;13,450.00;13,550.00;13,550.00;10,129,800
May 14, 2024;13,800.00;13,950.00;13,500.00;13,550.00;13,550.00;7,092,800
May 13, 2024;13,250.00;13,850.00;13,050.00;13,700.00;13,700.00;21,284,600
May 10, 2024;13,500.00;13,700.00;13,200.00;13,200.00;13,200.00;8,559,100
May 9, 2024;13,650.00;13,650.00;13,200.00;13,450.00;13,450.00;9,686,100
May 8, 2024;13,150.00;13,500.00;12,900.00;13,500.00;13,500.00;19,367,600
May 7, 2024;13,050.00;13,300.00;12,900.00;13,200.00;13,200.00;6,535,900
May 6, 2024;12,500.00;13,300.00;12,450.00;13,000.00;13,000.00;15,432,200
May 3, 2024;12,300.00;12,600.00;12,300.00;12,450.00;12,450.00;5,125,200
May 2, 2024;12,300.00;12,400.00;12,250.00;12,250.00;12,250.00;3,599,200
Apr 26, 2024;12,400.00;12,550.00;12,350.00;12,400.00;12,400.00;4,253,500
Apr 25, 2024;12,400.00;12,650.00;12,300.00;12,500.00;12,500.00;5,152,300
Apr 24, 2024;12,200.00;12,450.00;12,150.00;12,300.00;12,300.00;6,466,300
Apr 23, 2024;12,000.00;12,200.00;12,000.00;12,150.00;12,150.00;9,491,100
Apr 22, 2024;12,200.00;12,200.00;12,000.00;12,050.00;12,050.00;8,281,200
Apr 19, 2024;11,400.00;11,800.00;11,050.00;11,800.00;11,800.00;22,678,300
Apr 17, 2024;12,600.00;12,650.00;11,850.00;11,850.00;11,850.00;20,545,600
Apr 16, 2024;12,400.00;12,600.00;11,950.00;12,600.00;12,600.00;18,005,800
Apr 15, 2024;13,400.00;13,550.00;12,500.00;12,500.00;12,500.00;36,145,400
Apr 12, 2024;13,450.00;13,650.00;13,250.00;13,400.00;13,400.00;11,054,400
Apr 11, 2024;13,250.00;13,500.00;13,200.00;13,300.00;13,300.00;8,234,200
Apr 10, 2024;13,250.00;13,800.00;13,100.00;13,400.00;13,400.00;22,132,200
Apr 9, 2024;13,050.00;13,150.00;12,900.00;13,150.00;13,150.00;6,613,600
Apr 8, 2024;13,000.00;13,400.00;12,850.00;13,000.00;13,000.00;25,674,500
Apr 5, 2024;12,600.00;13,100.00;12,450.00;12,900.00;12,900.00;17,103,200
Apr 4, 2024;12,650.00;12,800.00;12,600.00;12,650.00;12,650.00;6,912,400
Apr 3, 2024;12,700.00;13,000.00;12,600.00;12,800.00;12,800.00;14,179,400
