Date,Open,High,Low,Close,Adj Close,Volume
2023-09-21,25818.18,26454.54,25590.91,25818.18,25818.18,47257319.0
2023-09-22,25227.27,25409.09,24318.18,24818.18,24818.18,56513049.0
2023-09-25,24545.46,25000.0,23363.64,23636.36,23636.36,40560629.0
2023-09-26,23500.0,24363.64,23500.0,23818.18,23818.18,34136959.0
2023-09-27,23772.73,24272.73,23772.73,24090.91,24090.91,24515809.0
2023-09-28,24181.82,24409.09,23818.18,24181.82,24181.82,19208859.0
2023-09-29,24363.64,24409.09,23863.64,23909.09,23909.09,17866309.0
2023-10-02,23909.09,24045.46,23636.36,23818.18,23818.18,13068054.0
2023-10-03,23727.27,23727.27,22454.54,22545.46,22545.46,44734799.0
2023-10-04,22272.73,23181.82,21818.18,22954.54,22954.54,23259719.0
2023-10-05,23090.91,23181.82,22590.91,22636.36,22636.36,11576564.0
2023-10-06,22590.91,23000.0,22409.09,22681.82,22681.82,22934999.0
2023-10-09,22681.82,23272.73,22681.82,23181.82,23181.82,12801634.0
2023-10-10,23363.64,23863.64,23272.73,23636.36,23636.36,22160269.0
2023-10-11,23772.73,23863.64,23454.54,23818.18,23818.18,15166689.0
2023-10-12,23909.09,23909.09,23272.73,23454.54,23454.54,25418029.0
2023-10-13,23272.73,23409.09,22772.73,23409.09,23409.09,22492799.0
2023-10-16,23409.09,23454.54,22727.27,22727.27,22727.27,17891499.0
2023-10-17,22909.09,23136.36,22545.46,22545.46,22545.46,16853649.0
2023-10-18,22545.46,22681.82,21090.91,21818.18,21818.18,34671009.0
2023-10-19,21909.09,22000.0,21318.18,21545.46,21545.46,23027509.0
2023-10-20,21545.46,22136.36,21227.27,22136.36,22136.36,18233709.0
2023-10-23,22136.36,22136.36,21545.46,21818.18,21818.18,13176569.0
2023-10-24,21863.64,22181.82,21500.0,21818.18,21818.18,10904409.0
2023-10-25,21863.64,22363.64,21863.64,21863.64,21863.64,13268309.0
2023-10-26,21636.36,21681.82,20545.46,20727.27,20727.27,34221659.0
2023-10-27,21136.36,21363.64,20772.73,21227.27,21227.27,23926319.0
2023-10-30,21227.27,21590.91,20909.09,20909.09,20909.09,17823849.0
